日期,時段,排名,代號,名稱,昨收,即時價,漲幅(%),狀態
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),25,00753L,中信中國50正2,9.69,10.28,6.09,觀察中
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),26,2347,聯強,86.5,91.5,5.78,觀察中
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),27,5871,中租-KY,108.5,114.5,5.53,觀察中
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),28,4967,十銓,289.0,304.5,5.36,觀察中
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),29,2377,微星,141.5,149.0,5.3,觀察中
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),30,1319,東陽,87.5,92.1,5.26,觀察中
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),1,6205,詮欣,81.2,89.3,9.98,⚠️ 漲停跳過
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),2,2408,南亞科,381.5,419.5,9.96,⚠️ 漲停跳過
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),3,2353,宏碁,38.7,42.55,9.95,⚠️ 漲停跳過
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),4,8454,富邦媒,241.5,265.5,9.94,⚠️ 漲停跳過
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),5,2357,華碩,837.0,920.0,9.92,⚠️ 漲停跳過
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),6,2324,仁寶,40.35,44.35,9.91,⚠️ 漲停跳過
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),7,9910,豐泰,71.9,79.0,9.87,⚠️ 漲停跳過
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),8,2409,友達,23.8,26.15,9.87,⚠️ 漲停跳過
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),9,1528,恩德,27.35,30.05,9.87,⚠️ 漲停跳過
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),10,2474,可成,223.5,245.5,9.84,⚠️ 漲停跳過
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),11,2344,華邦電,168.0,184.5,9.82,⚠️ 漲停跳過
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),12,3231,緯創,174.0,191.0,9.77,⚠️ 漲停跳過
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),13,6890,來億-KY,174.5,191.5,9.74,⚠️ 漲停跳過
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),14,00916,國泰全球品牌50,28.56,31.09,8.86,⭐️ 買進標的
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),15,2382,廣達,372.5,400.5,7.52,⭐️ 買進標的
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),16,4938,和碩,91.2,97.8,7.24,⭐️ 買進標的
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),17,2379,瑞昱,609.0,653.0,7.22,⭐️ 買進標的
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),18,5484,慧友,53.6,57.4,7.09,⭐️ 買進標的
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),19,2327,國巨*,790.0,846.0,7.09,觀察中
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),20,3006,晶豪科,250.0,267.5,7.0,觀察中
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),21,1229,聯華,40.4,43.2,6.93,觀察中
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),22,3167,大量,786.0,840.0,6.87,觀察中
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),23,2887,台新新光金,24.6,26.1,6.1,觀察中
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),24,6526,達發,673.0,714.0,6.09,觀察中
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),25,00753L,中信中國50正2,9.69,10.28,6.09,觀察中
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),26,2347,聯強,86.5,91.5,5.78,觀察中
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),27,5871,中租-KY,108.5,114.5,5.53,觀察中
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),28,4967,十銓,289.0,304.5,5.36,觀察中
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),29,2377,微星,141.5,149.0,5.3,觀察中
2026-06-02,尾盤(13:20),通過(12965.65/12840.65),30,1319,東陽,87.5,92.1,5.26,觀察中
2026-06-03,早盤(09:05),通過(13560.19/12977.31),1,3481,群創,51.0,56.1,10.0,⚠️ 漲停跳過
2026-06-03,早盤(09:05),通過(13560.19/12977.31),2,2357,華碩,761.0,837.0,9.99,⚠️ 漲停跳過
2026-06-03,早盤(09:05),通過(13560.19/12977.31),3,2356,英業達,70.2,77.2,9.97,⚠️ 漲停跳過
2026-06-03,早盤(09:05),通過(13560.19/12977.31),4,3661,世芯-KY,4415.0,4855.0,9.97,⚠️ 漲停跳過
2026-06-03,早盤(09:05),通過(13560.19/12977.31),5,5484,慧友,48.75,53.6,9.95,⚠️ 漲停跳過
2026-06-03,早盤(09:05),通過(13560.19/12977.31),6,2324,仁寶,36.7,40.35,9.95,⚠️ 漲停跳過
2026-06-03,早盤(09:05),通過(13560.19/12977.31),7,2353,宏碁,35.2,38.7,9.94,⚠️ 漲停跳過
2026-06-03,早盤(09:05),通過(13560.19/12977.31),8,2408,南亞科,347.0,381.5,9.94,⚠️ 漲停跳過
2026-06-03,早盤(09:05),通過(13560.19/12977.31),9,2497,怡利電,59.7,65.6,9.88,⚠️ 漲停跳過
2026-06-03,早盤(09:05),通過(13560.19/12977.31),10,2382,廣達,339.0,372.5,9.88,⚠️ 漲停跳過
2026-06-03,早盤(09:05),通過(13560.19/12977.31),11,6282,康舒,59.9,65.8,9.85,⚠️ 漲停跳過
2026-06-03,早盤(09:05),通過(13560.19/12977.31),12,6805,富世達,1930.0,2120.0,9.84,⚠️ 漲停跳過
2026-06-03,早盤(09:05),通過(13560.19/12977.31),13,1528,恩德,24.9,27.35,9.84,⚠️ 漲停跳過
2026-06-03,早盤(09:05),通過(13560.19/12977.31),14,2474,可成,203.5,223.5,9.83,⚠️ 漲停跳過
2026-06-03,早盤(09:05),通過(13560.19/12977.31),15,3231,緯創,158.5,174.0,9.78,⚠️ 漲停跳過
2026-06-03,早盤(09:05),通過(13560.19/12977.31),16,1303,南亞,98.1,107.5,9.58,⚠️ 漲停跳過
2026-06-03,早盤(09:05),通過(13560.19/12977.31),17,2258,鴻華先進-創,30.15,32.95,9.29,⭐️ 買進標的
2026-06-03,早盤(09:05),通過(13560.19/12977.31),18,3008,大立光,3515.0,3835.0,9.1,⭐️ 買進標的
2026-06-03,早盤(09:05),通過(13560.19/12977.31),19,8028,昇陽半導體,327.0,356.5,9.02,⭐️ 買進標的
2026-06-03,早盤(09:05),通過(13560.19/12977.31),20,3653,健策,3545.0,3840.0,8.32,⭐️ 買進標的
2026-06-03,早盤(09:05),通過(13560.19/12977.31),21,2377,微星,131.0,141.5,8.02,⭐️ 買進標的
2026-06-03,早盤(09:05),通過(13560.19/12977.31),22,1326,台化,49.9,53.8,7.82,觀察中
2026-06-03,早盤(09:05),通過(13560.19/12977.31),23,2880,華南金,30.5,32.85,7.7,觀察中
2026-06-03,早盤(09:05),通過(13560.19/12977.31),24,2327,國巨*,738.0,790.0,7.05,觀察中
2026-06-03,早盤(09:05),通過(13560.19/12977.31),25,8046,南電,848.0,905.0,6.72,觀察中
